,UMI,GENE,sample,methods,tissue
286,26298,7256,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
287,7997,3657,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
288,42082,8804,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
289,13339,5238,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
290,47556,8932,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
291,10272,4365,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
292,23649,7007,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
293,5809,3167,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
294,20083,6051,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
295,5560,3022,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
296,4329,2505,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
297,2475,1657,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
298,10228,4324,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
299,19468,6305,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
300,38354,8391,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
301,22683,6737,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
302,13528,5235,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
303,25771,6979,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
304,12243,4843,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
305,10287,4371,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
306,27144,7307,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
307,22534,6672,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
308,16052,5442,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
309,10959,4610,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
310,21674,6493,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
311,39241,8242,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
312,17159,5828,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
313,6737,3352,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
314,29603,7424,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
315,17087,5568,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
316,29215,7555,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
317,8662,3773,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
318,41069,8779,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
319,14684,5452,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
320,43437,8697,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
321,9072,3902,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
322,22601,6748,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
323,5318,2920,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
324,18956,6084,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
325,3323,1926,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
326,1783,1285,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
327,9752,4160,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
328,15492,5602,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
329,28893,7518,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
330,16581,5777,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
331,8943,4076,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
332,17297,5976,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
333,8852,3947,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
334,8466,3880,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
335,26814,7120,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
336,27100,7299,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
337,9466,3995,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
338,11049,4318,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
339,10016,4329,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
340,10153,4221,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
341,29664,7026,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
342,15632,5572,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
343,7396,3691,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
344,28782,7386,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
345,22805,6500,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
346,36103,8123,E10_0725e10cl-10,"DBiT-seq
(E10,50um)",E10
