,Rep.1,Rep.2,Rep.3,Rep.4
ENSMUSG00000020413,4.6524687,4.736417468340338,5.0435305446717775,5.126437111345811
ENSMUSG00000020415,5.6301208,5.630898790941548,5.670091787735131,5.641712150672169
ENSMUSG00000020419,3.2489526,3.22670255310012,3.225867697341036,2.9689960555355777
ENSMUSG00000020420,3.3615088,3.753981914565991,3.7701587379857253,3.789467188389797
ENSMUSG00000020422,5.736259,5.8634100721104465,6.0663333000460655,6.170883424640935
ENSMUSG00000020423,5.2920384,5.5918650001539065,5.7204743570444405,5.927201053251108
ENSMUSG00000020424,3.4032938,3.085348966273578,3.3422636484039048,3.4258167990083983
ENSMUSG00000020427,6.7258134,6.895349234525347,6.911926438195025,6.912103234782929
ENSMUSG00000020430,6.0621133,6.066901869266955,6.310622375994621,6.374132913800035
ENSMUSG00000020431,7.4918165,7.620397949066604,7.820033675317921,7.892487884217486
ENSMUSG00000020432,4.712493,4.958831315603702,5.217078315692978,5.1105708428746
ENSMUSG00000020434,1.699982,2.470230596257041,2.2984477082239554,2.6741422696538546
ENSMUSG00000020435,5.7381873,5.71396171150337,6.105677374374734,6.106860771208252
ENSMUSG00000020436,7.141627,7.199373077737761,7.5580876537671875,7.462040338036748
ENSMUSG00000020439,4.736885,5.153620706812883,4.885397400627145,5.018456294409871
ENSMUSG00000020440,8.270853,8.277197127150982,8.401648067247361,8.359650257233199
ENSMUSG00000020441,4.844909,4.858893379428998,4.9818522040957545,5.020569912805568
ENSMUSG00000020444,7.6116176,7.648677995497078,7.64448739144562,7.638358522226651
ENSMUSG00000020448,5.805299,5.886510849730043,5.983149971031479,6.05730046311167
ENSMUSG00000020451,7.646402,7.4708604379352215,7.535500023670951,7.52168689890522
ENSMUSG00000020453,6.2043543,6.283210236030519,6.489353705046142,6.616756596116942
ENSMUSG00000020454,6.6429124,6.688089635740868,7.012127061375379,7.122447101563819
ENSMUSG00000020455,5.3246455,5.644807981158239,5.710886393394336,5.773648120546689
ENSMUSG00000020456,6.6393433,6.839134609076167,6.998477758537412,7.00190656220555
ENSMUSG00000020457,7.0209446,6.9283989400906325,7.152035394402599,7.200703338462952
ENSMUSG00000020458,8.888029,8.918074568072667,9.209342510997224,9.33411868126074
ENSMUSG00000020459,5.8218193,5.86708643020958,5.894422590628533,5.835717019572498
ENSMUSG00000020460,10.524392,10.50121133399206,10.45239780264637,10.364353552213736
ENSMUSG00000020462,6.305942,6.414649434391272,6.596743854951111,6.6581995397682485
ENSMUSG00000020463,6.6568756,7.10862825778335,7.020544856768834,6.931130808898571
ENSMUSG00000020464,5.4605255,5.655401452240732,5.621489617665532,5.547513124078877
ENSMUSG00000020467,3.4649396,3.5466352665310787,3.596193667617073,3.448244952124093
ENSMUSG00000020471,5.436185,5.662233728214255,5.7057047591836465,5.720911242287699
ENSMUSG00000020472,5.360084,5.464080246730766,5.5703959283117825,5.63048368899512
ENSMUSG00000020473,4.8683534,5.0070997953947955,5.3230759247059485,4.906123259160976
ENSMUSG00000020474,3.9546201,4.223755200748117,4.471443025736935,4.488726803971272
ENSMUSG00000020475,1.679173,1.889516497877414,2.5404063175011498,1.7955745093594226
ENSMUSG00000020476,6.914136,7.008154030323545,7.115953127305777,7.120388417822058
ENSMUSG00000020477,8.082615,8.089463002832995,7.977197112030151,7.871819661527084
ENSMUSG00000020481,6.8157363,7.070250441107627,6.661892750207965,6.659976576118899
ENSMUSG00000020482,4.9756074,5.256847617419216,5.3345912901145915,5.399858165030332
ENSMUSG00000020483,8.414056,8.454460642694997,8.769779033330405,8.866885552043476
ENSMUSG00000020484,6.4591804,6.490475009959383,6.620514678077867,6.615098450582113
ENSMUSG00000020485,7.330168,7.3185048210656625,7.276434915962115,7.213601908304093
ENSMUSG00000020486,4.788051,4.860266752816431,4.8590296415738985,4.852392713676291
ENSMUSG00000020491,4.7566576,4.826996524944038,5.097418772058436,5.136054662120482
ENSMUSG00000020492,6.6423078,6.692704805713487,6.800230829740916,6.897157943212124
ENSMUSG00000020493,6.289708,6.5353001783916564,6.155796830112751,6.079562935066636
ENSMUSG00000020495,5.5414047,5.571120774424116,5.928766697431289,5.958214596469766
ENSMUSG00000020496,8.286773,8.313218916885596,8.523135267885438,8.48083296909282
ENSMUSG00000020513,5.185368,5.449842969526903,5.182992977770053,5.311451107575506
ENSMUSG00000020514,6.20929,6.30270325883733,6.218329497937056,6.190921008871601
ENSMUSG00000020515,6.505397,6.5559202013497355,6.746040612949287,6.845169472451643
ENSMUSG00000020516,6.705455,6.809807743796275,6.8791918375278875,6.960582113692288
ENSMUSG00000020519,6.462249,6.5752892280634185,6.446578399422949,6.229531407146688
ENSMUSG00000020520,4.4725103,4.656027231821212,4.892803810611022,5.008719805119078
ENSMUSG00000020521,4.8715777,5.203564923025615,5.279543682059672,5.444759271791247
ENSMUSG00000020522,5.371761,5.6829490794848905,5.78474516916829,5.938004970807854
ENSMUSG00000020523,6.0488133,6.198820926216624,6.368017466994806,6.461902004050837
ENSMUSG00000020524,6.7344327,6.880860958522146,7.127167169270764,7.328442482560272
