ID,seq_id,type,angle-shun,center_col,center_row,col_x_1,row_y_1,angle_shun1,angle_shun2,col_x_2,row_y_2
Slide7-9,196,Slide,68,323.4,294.1,9.6,38.9,68,1.0,-10.0,-10.0
Slide7-10,198,Slide,70,318.0,305.8,15.0,27.2,70,1.0,-10.0,-10.0
T9-9-1-HE,200,ST,50,591.7,510.0,-258.7,-177.0,50,-1.0,-8.0,-2.0
Slide8-1,202,Slide,80,266.2,303.5,66.8,29.5,80,-1.0,-10.0,-10.0
Slide8-2,205,Slide,75,271.4,314.4,61.6,18.6,75,-1.0,0.0,-10.0
T9-9-2-HE,207,ST,-110,406.4,507.6,-73.4,-174.6,-110,3.0,-8.0,-6.0
Slide8-3,209,Slide,65,329.0,314.5,4.0,18.5,65,-1.0,-4.0,0.0
Slide8-4,211,Slide,65,334.1,328.9,-1.1,4.1,65,-1.0,2.0,-8.0
T9-9-3-HE,213,ST,-95,429.5,488.4,-96.5,-155.4,-95,5.0,-10.0,-10.0
Slide8-5,215,Slide,-100,283.5,317.5,49.5,15.5,-100,-3.0,4.0,10.0
Slide8-6,217,Slide,-100,216.0,305.0,117.0,28.0,-100,-3.0,8.0,-10.0
